Player_Name,Player_Team,Batting_average,Game_Num,Plate_Appearance,At_Bat,Run,Hit,two_Base,three_Base,Home_Run,Total_Base,Runs_Batted_In,Sacrifice_Bunts,Sacrifice_Fly,Four_Ball,IBB,Hit_by_Pitch,Strike_Out,Double_out,Slugging,On_Base_Percentage,Onbase_Plus_Slug,Multi_Hit,Scoring_Position_AVG,Pinch_Hit_AVG
강민호,삼성,0.303,136,452,403,48,122,19,1,19,200,77,0,6,35,2,8,52,17,0.496,0.365,0.861,31,0.274,0.182
강백호,KT,0.289,144,614,550,92,159,27,0,26,264,96,0,2,59,4,3,127,6,0.48,0.36,0.84,43,0.28,0.25
강성우,롯데,0.5,2,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0.5,1.0,0,0.0,0.0
강승호,두산,0.28,140,566,521,81,146,34,7,18,248,81,2,4,32,4,7,158,8,0.476,0.328,0.804,39,0.29,0.2
강진성,SSG,0.185,16,31,27,4,5,0,0,0,5,2,1,0,3,0,0,5,0,0.185,0.267,0.452,0,0.5,0.286
강한울,삼성,0.095,18,25,21,1,2,0,0,0,2,1,3,1,0,0,0,6,1,0.095,0.091,0.186,0,0.167,0.0
강현우,KT,0.308,18,36,26,4,8,1,0,1,12,8,2,0,8,0,0,10,0,0.462,0.471,0.933,2,0.286,0.0
고명준,SSG,0.25,106,366,340,33,85,13,0,11,131,45,0,0,25,0,1,90,4,0.385,0.303,0.688,14,0.313,0.0
고승민,롯데,0.308,120,532,481,79,148,27,6,14,229,87,1,8,41,0,1,78,10,0.476,0.358,0.834,42,0.307,0.667
고영우,키움,0.256,94,290,254,21,65,12,2,0,81,35,4,3,28,0,1,71,5,0.319,0.329,0.648,15,0.324,0.5
고종욱,KIA,0.25,28,36,32,3,8,2,0,1,13,4,0,0,4,0,0,6,2,0.406,0.333,0.739,0,0.167,0.333
공민규,삼성,0.071,12,17,14,1,1,0,0,1,4,2,0,0,1,0,2,9,1,0.286,0.235,0.521,0,0.0,0.0
구본혁,LG,0.257,133,389,339,48,87,14,2,2,111,43,4,4,38,0,4,51,7,0.327,0.335,0.662,15,0.272,0.5
구자욱,삼성,0.343,129,568,493,92,169,39,1,33,309,115,2,6,55,4,12,73,6,0.627,0.417,1.044,52,0.341,0.0
권광민,한화,0.271,19,51,48,10,13,3,0,4,28,9,0,0,3,0,0,17,0,0.583,0.314,0.897,3,0.222,0.286
권동진,KT,0.222,9,10,9,3,2,0,0,0,2,0,0,0,1,0,0,2,0,0.222,0.3,0.522,1,0.333,0.0
권희동,NC,0.3,123,511,416,66,125,22,1,13,188,77,2,6,77,1,10,63,10,0.452,0.417,0.869,31,0.391,1.0
