Player_Name,Player_Team,Earned_Run_Average,Game_Num,Win,Lose,Save,Hold,Winning_Percentage,Innings_Pitched,Hits,Home_Run,Base_On_Balls,Hit_By_Pitch,Strike_Out,Runs,Earned_Run,WHIP,Complete_Game,Shutout,Quality_Start,Blown_Save,Total_Batters_Faced,Number_Of_Pitching,Opponent_Batting_Average,2Base,3Base,Sacrifice_Bunt,Sacrifice_Fly,IBB,Wild_Pitch,Balk
강건,KT,11.25,4,0,1,0,0,0.0,4.0,8,1,4,1,3,5,5,3.0,0,0,0,0,24,99,0.421,0,1,0,0,0,0,0
고영표,KT,4.95,18,6,8,0,0,0.429,100.0,141,6,14,11,79,61,55,1.55,0,0,9,0,456,1591,0.333,27,4,3,5,0,2,1
고효준,SSG,8.18,26,2,1,0,5,0.667,22.0,23,4,20,1,27,21,20,1.95,0,0,0,1,109,482,0.271,4,0,1,2,1,2,0
곽도규,KIA,3.56,71,4,2,2,16,0.667,55.667,43,4,34,4,64,24,22,1.38,0,0,0,4,248,1068,0.207,7,0,2,0,1,7,0
곽빈,두산,4.24,30,15,9,0,0,0.625,167.667,142,11,76,6,154,83,79,1.3,0,0,17,0,716,2892,0.229,29,1,6,7,0,11,1
구승민,롯데,4.84,66,5,3,0,13,0.625,57.667,68,6,35,6,62,37,31,1.79,0,0,0,2,279,1138,0.293,10,0,3,3,1,7,0
권휘,두산,11.0,8,0,0,0,0,,9.0,15,0,7,0,11,11,11,2.44,0,0,0,0,49,205,0.366,3,0,1,0,0,1,0
김강률,두산,3.0,53,2,2,1,12,0.5,42.0,41,1,21,2,33,16,14,1.48,0,0,0,0,187,769,0.255,7,0,2,1,0,1,0
김강현,롯데,3.55,26,0,0,0,0,,25.333,28,2,18,2,24,13,10,1.82,0,0,0,1,123,497,0.275,4,0,1,0,1,3,0
김건국,KIA,7.86,20,0,1,0,0,0.0,34.333,48,5,14,2,20,33,30,1.81,0,0,0,0,165,594,0.327,8,0,0,2,0,3,0
김광현,SSG,4.93,31,12,10,0,0,0.545,162.333,162,24,73,6,154,95,89,1.45,0,0,13,0,709,2757,0.26,29,0,5,3,1,8,0
김규연,한화,7.02,58,1,0,0,4,1.0,59.0,66,6,28,4,40,50,46,1.59,0,0,0,1,270,1029,0.287,10,1,5,3,1,3,0
김기중,한화,6.56,27,5,4,0,0,0.556,59.0,83,8,27,6,39,44,43,1.86,0,0,1,0,286,1090,0.333,12,1,1,3,0,2,0
김기훈,KIA,5.03,17,1,0,0,0,1.0,19.667,16,1,15,3,17,13,11,1.58,0,0,0,0,95,386,0.208,4,1,0,0,0,1,1
김대우,삼성,5.5,32,0,0,0,5,,34.333,42,4,9,3,23,24,21,1.49,0,0,0,0,157,529,0.296,9,0,1,2,2,1,0
김대유,KIA,8.28,37,0,0,0,8,,25.0,35,4,12,2,26,23,23,1.88,0,0,0,0,122,465,0.34,5,0,0,5,0,1,0
김대현,LG,5.4,37,2,0,1,1,1.0,35.0,33,6,18,2,30,21,21,1.46,0,0,0,2,155,560,0.248,6,1,0,2,0,5,0
김대호,삼성,11.25,1,0,1,0,0,0.0,4.0,7,1,2,0,1,6,5,2.25,0,0,0,0,22,87,0.35,2,0,0,0,0,0,0
김도규,롯데,9.0,5,0,1,0,0,0.0,4.0,5,0,6,2,5,4,4,2.75,0,0,0,0,25,92,0.333,1,0,0,2,1,0,1
김도빈,한화,54.0,1,0,1,0,0,0.0,0.333,1,0,3,0,1,2,2,12.0,0,0,0,0,5,20,0.5,0,0,0,0,0,0,0
김도윤,두산,3.86,2,0,0,0,0,,2.333,2,0,2,1,1,2,1,1.71,0,0,0,0,12,44,0.222,1,0,0,0,0,0,0
김도현,KIA,4.92,35,4,6,0,3,0.4,75.0,87,9,31,9,59,45,41,1.57,0,0,1,0,345,1330,0.291,11,1,4,2,0,4,0
김동규,키움,54.0,2,0,0,0,0,,0.333,1,0,2,0,0,2,2,9.0,0,0,0,0,4,15,0.5,1,0,0,0,0,0,0
김동욱,키움,5.0,37,2,1,0,3,0.667,36.0,33,4,6,2,18,20,20,1.08,0,0,0,1,146,569,0.246,9,1,2,2,1,1,0
김동주,두산,6.84,14,1,3,0,0,0.25,50.0,67,6,21,4,35,46,38,1.76,1,0,0,0,244,914,0.315,12,3,1,5,0,7,1
김동혁,키움,6.85,17,0,2,0,0,0.0,22.333,27,7,10,2,9,21,17,1.66,0,0,0,0,102,418,0.318,5,1,1,4,0,0,0
김명신,두산,9.37,35,2,1,0,4,0.667,32.667,63,8,8,2,25,34,34,2.17,0,0,0,1,168,650,0.409,7,0,2,2,0,1,0
김무신,삼성,10.13,4,0,0,0,0,,5.333,6,0,7,0,2,6,6,2.44,0,0,0,0,26,105,0.375,0,0,1,2,0,1,0
김민,KT,4.31,71,8,4,0,21,0.667,77.333,84,5,27,2,77,38,37,1.44,0,0,0,4,336,1205,0.277,13,0,4,0,3,5,0
김민규,NC,5.68,7,0,0,0,0,,6.333,8,0,3,0,2,4,4,1.74,0,0,0,0,30,112,0.32,1,0,1,1,0,1,0
김민규,두산,4.32,13,0,1,0,0,0.0,25.0,23,4,19,4,19,14,12,1.68,0,0,0,0,117,452,0.247,7,2,1,0,0,3,0
김민수,KT,5.2,75,5,3,0,12,0.625,81.333,84,8,33,1,75,56,47,1.44,0,0,0,2,358,1350,0.264,13,5,3,3,2,3,0
김민우,한화,2.19,3,1,0,0,0,1.0,12.333,7,2,6,0,13,3,3,1.05,0,0,1,0,49,186,0.163,0,0,0,0,0,0,0
