Player_Name,Player_Team,Batting_average,Game_Num,Plate_Appearance,Run,Hit,two_Base,three_Base,Home_Run,Runs_Batted_In,Four_Ball,Strike_Out,On_Base_Percentage,Onbase_Plus_Slug
강민성,KT,0.043,20,28,0,1,0,0,0,1,4,10,0.179,0.222
강민호,삼성,0.268,77,281,20,67,15,0,8,44,24,41,0.335,0.759
강백호,KT,0.255,43,176,15,40,7,0,7,23,17,29,0.33,0.763
강승호,두산,0.218,75,262,31,52,14,2,3,26,16,78,0.282,0.613
강진성,키움,0.182,6,13,1,2,0,0,0,1,2,1,0.308,0.49
강현우,KT,0.259,16,31,3,7,1,0,1,4,4,5,0.355,0.762
고명준,SSG,0.288,83,323,26,87,18,1,7,39,14,55,0.319,0.743
고승민,롯데,0.299,71,310,42,82,15,1,2,30,31,45,0.367,0.75
고승완,NC,0.25,7,4,3,1,0,0,0,0,0,1,0.25,0.5
고종욱,KIA,0.328,23,65,8,19,2,0,2,10,5,7,0.369,0.835
구본혁,LG,0.234,81,242,20,49,11,1,1,22,21,29,0.316,0.627
구자욱,삼성,0.294,87,371,63,95,23,0,12,54,38,60,0.368,0.845
권광민,한화,0.222,6,9,1,2,1,0,0,0,0,1,0.222,0.555
권동진,KT,0.237,75,224,24,45,7,2,0,15,27,61,0.33,0.625
권희동,NC,0.25,82,295,40,57,17,0,4,26,53,52,0.412,0.789
김건희,키움,0.23,54,171,13,38,9,2,1,13,3,43,0.243,0.57
김규성,KIA,0.254,81,156,21,35,4,0,1,12,13,38,0.327,0.631
김기연,두산,0.248,53,133,11,29,4,0,1,16,11,22,0.315,0.623
김대한,두산,0.2,12,25,1,5,0,0,1,1,0,3,0.2,0.52
김도영,KIA,0.33,27,111,19,33,9,0,7,26,9,18,0.378,1.008
김도환,삼성,0.333,2,3,0,1,1,0,0,1,0,2,0.333,1
김동엽,키움,0.222,9,29,2,6,2,0,0,2,2,11,0.276,0.572
김동준,두산,0.262,23,65,5,16,3,0,1,8,3,13,0.297,0.658
김동헌,키움,0.242,36,69,7,15,2,0,0,6,5,19,0.304,0.578
김동혁,롯데,0.254,59,95,15,18,4,1,0,6,18,19,0.424,0.762
김민석,두산,0.235,51,143,11,31,2,2,0,8,8,38,0.282,0.562
김민성,롯데,0.248,60,173,18,37,7,0,2,22,20,29,0.343,0.679
김민수,LG,0.182,13,13,0,2,0,0,0,1,1,6,0.231,0.413
김민혁,KT,0.285,79,309,33,81,7,1,0,30,17,25,0.336,0.653
김민혁,두산,0.118,10,21,2,2,0,0,1,1,4,6,0.286,0.58
김병준,KT,0.2,9,5,2,1,0,0,0,0,0,2,0.2,0.4
김상수,KT,0.265,62,245,26,54,8,0,3,28,36,23,0.373,0.721
