Player_Name,Player_Team,Earned_Run_Average,Game_Num,Win,Lose,Save,Hold,Innings_Pitched,Hits,Home_Run,Base_On_Balls,Strike_Out,Runs,Earned_Run,WHIP
김민규,두산,0.0,6,1,0,0,0,6.667,4,0,4,5,0,0,1.2
김한중,두산,0.0,1,0,0,0,0,1.0,0,0,0,0,0,0,0.0
박신지,두산,2.61,29,2,1,0,0,38.0,35,2,16,20,15,11,1.34
김택연,두산,2.93,41,2,2,15,0,46.0,29,4,21,57,20,15,1.09
박치국,두산,3.21,49,2,2,2,10,42.0,37,1,12,44,21,15,1.17
잭로그,두산,3.23,18,5,7,0,0,108.667,84,5,31,92,44,39,1.06
이영하,두산,3.43,46,4,3,0,10,44.667,37,3,26,50,19,17,1.41
최민석,두산,3.63,8,1,2,0,0,34.667,28,3,16,18,16,14,1.27
곽빈,두산,3.64,8,2,2,0,0,47.0,38,4,16,37,22,19,1.15
콜어빈,두산,4.22,17,7,7,0,0,89.667,84,4,45,73,46,42,1.44
이병헌,두산,4.32,14,0,0,0,2,8.333,9,0,6,7,4,4,1.8
양재훈,두산,4.35,7,0,0,1,0,10.333,11,0,3,7,5,5,1.35
홍민규,두산,4.45,16,2,1,1,0,28.333,30,4,11,17,16,14,1.45
최원준,두산,4.52,17,1,6,0,0,81.667,84,12,29,44,44,41,1.38
박정수,두산,4.74,21,1,0,0,2,19.0,26,0,7,10,11,10,1.74
최승용,두산,4.94,16,5,5,0,0,82.0,86,6,30,55,46,45,1.41
김명신,두산,5.4,8,0,0,0,0,8.333,13,0,3,6,8,5,1.92
김정우,두산,5.4,6,0,0,0,0,8.333,12,0,4,5,6,5,1.92
최종인,두산,5.4,3,0,0,0,0,1.667,1,0,3,5,1,1,2.4
김호준,두산,6.75,19,0,1,0,1,10.667,14,2,7,7,11,8,1.97
최지강,두산,6.75,33,2,5,0,5,26.667,35,2,12,34,22,20,1.76
고효준,두산,7.62,26,0,1,0,5,13.0,19,2,10,8,11,11,2.23
김유성,두산,8.22,6,0,2,0,0,15.333,15,2,13,19,14,14,1.83
홍건희,두산,8.44,7,0,0,0,0,5.333,6,1,6,4,5,5,2.25
최준호,두산,8.62,8,1,2,0,0,15.667,18,4,9,10,15,15,1.72
제환유,두산,9.0,1,0,0,0,0,1.0,2,0,1,1,1,1,3.0
김기중,한화,0.0,3,0,0,0,0,8.333,7,0,1,4,0,0,0.96
김범수,한화,1.5,42,1,0,2,2,24.0,16,0,11,25,6,4,1.13
김서현,한화,1.51,43,1,1,22,1,41.667,28,1,20,51,7,7,1.15
폰세,한화,1.85,19,12,0,0,0,121.667,76,7,27,169,28,25,0.85
한승혁,한화,2.3,47,2,2,2,11,43.0,37,3,18,32,13,11,1.28
